customer_id,company_name,industry,company_size,employees,plan,contract_type,mrr,start_date,churn_date,status,csm_assigned,csm_name,product_usage_score,support_tickets_90d,last_login_days_ago,nps_score,churn_reason,months_as_customer,renewal_quarter
HX-2001,Briartree Brewing,Manufacturing,Mid-Market,419,Growth,Monthly,427,2024-01-28,,Active,Yes,Jordan Reyes,92,7,4,69,,14,Q1-2025
HX-2002,Foundry Robotics,Logistics,Enterprise,2706,Business,Annual,1960,2023-12-13,,At-Risk,No,,43,7,30,5,,15,Q4-2024
HX-2003,Glide Logistics,Professional Services,SMB,48,Starter,Annual,139,2024-09-12,,At-Risk,Yes,Chris Nguyen,51,2,38,13,,6,Q3-2025
HX-2004,Harvest Mutual Bank,Nonprofit,SMB,35,Starter,Monthly,109,2024-03-11,2024-09-25,Churned,Yes,Maya Torres,19,17,96,-40,Competitor,6,Q1-2025
HX-2005,Lumen Architecture,Nonprofit,SMB,36,Starter,Monthly,103,2023-05-15,,Active,Yes,Maya Torres,93,2,10,77,,22,Q2-2024
HX-2006,Northwind Outdoor Co,Healthcare,SMB,14,Starter,Annual,232,2023-11-23,,Active,Yes,Sam Patel,62,5,3,37,,16,Q4-2024
HX-2007,Polaris Med Devices,Technology,Mid-Market,444,Growth,Monthly,720,2024-02-13,,Active,Yes,Avery Kim,71,0,6,41,,13,Q1-2025
HX-2008,Quill Public Schools,Retail,SMB,14,Starter,Monthly,273,2023-11-18,2024-07-29,Churned,No,,25,7,62,-12,Missing Feature,8,Q4-2024
HX-2009,Riverstone Realty,Nonprofit,Enterprise,2119,Business,Annual,1637,2024-11-05,,Active,Yes,Avery Kim,58,7,4,73,,4,Q4-2025
HX-2010,Sable Energy Co-op,Logistics,SMB,35,Starter,Monthly,259,2023-06-25,2024-09-15,Churned,No,,26,12,114,7,Lack of Use,14,Q2-2024
HX-2011,Tinder Press,Professional Services,Mid-Market,321,Growth,Multi-Year,384,2024-06-07,,Active,No,,76,6,8,46,,9,Q2-2025
HX-2012,Umbra Game Studios,Retail,Enterprise,3733,Enterprise,Monthly,2976,2024-03-02,,Active,No,,45,4,4,45,,13,Q1-2025
HX-2013,Verdant Foods Group,Manufacturing,Enterprise,2741,Enterprise,Annual,9886,2024-04-02,,Active,Yes,Sam Patel,92,2,6,56,,12,Q2-2025
